CO_CURSO,primeira_geracaon_valido,primeira_geracaon_positivo,primeira_geracao_pct,mae_superiorn_valido,mae_superiorn_positivo,mae_superior_pct,pai_superiorn_valido,pai_superiorn_positivo,pai_superior_pct,renda_ate_3smn_valido,renda_ate_3smn_positivo,renda_ate_3sm_pct,trabalhan_valido,trabalhan_positivo,trabalha_pct,trabalha_40hn_valido,trabalha_40hn_positivo,trabalha_40h_pct,acao_afirmativan_valido,acao_afirmativan_positivo,acao_afirmativa_pct,auxilio_permanencian_valido,auxilio_permanencian_positivo,auxilio_permanencia_pct,bolsa_academican_valido,bolsa_academican_positivo,bolsa_academica_pct,estudo_4h_ou_maisn_valido,estudo_4h_ou_maisn_positivo,estudo_4h_ou_mais_pct,pretende_magisterion_valido,pretende_magisterion_positivo,pretende_magisterio_pct
123787,2,1,0.5,2,0,0.0,2,0,0.0,2,1,0.5,2,2,1.0,2,1,0.5,2,1,0.5,2,0,0.0,2,1,0.5,2,2,1.0,2,1,0.5
300520,20,12,0.6,22,4,0.18181818181818182,18,2,0.1111111111111111,22,17,0.7727272727272727,22,11,0.5,22,1,0.045454545454545456,22,12,0.5454545454545454,22,4,0.18181818181818182,16,13,0.8125,22,15,0.6818181818181818,22,17,0.7727272727272727
312333,40,14,0.35,40,10,0.25,35,3,0.08571428571428572,40,28,0.7,40,24,0.6,40,5,0.125,40,23,0.575,40,20,0.5,33,23,0.696969696969697,40,31,0.775,40,33,0.825
1101770,42,12,0.2857142857142857,43,10,0.23255813953488372,42,9,0.21428571428571427,43,23,0.5348837209302325,43,38,0.8837209302325582,43,15,0.3488372093023256,43,25,0.5813953488372093,43,10,0.23255813953488372,22,15,0.6818181818181818,43,25,0.5813953488372093,43,36,0.8372093023255814
1102402,21,4,0.19047619047619047,21,11,0.5238095238095238,21,7,0.3333333333333333,21,0,0.0,21,19,0.9047619047619048,21,11,0.5238095238095238,21,9,0.42857142857142855,21,6,0.2857142857142857,11,6,0.5454545454545454,21,16,0.7619047619047619,21,19,0.9047619047619048
1102641,4,2,0.5,4,0,0.0,4,0,0.0,4,4,1.0,4,3,0.75,4,2,0.5,4,2,0.5,4,3,0.75,2,2,1.0,4,2,0.5,4,4,1.0
1102795,9,5,0.5555555555555556,9,1,0.1111111111111111,9,1,0.1111111111111111,9,6,0.6666666666666666,9,9,1.0,9,4,0.4444444444444444,9,3,0.3333333333333333,9,4,0.4444444444444444,5,5,1.0,9,7,0.7777777777777778,9,8,0.8888888888888888
1102963,3,1,0.3333333333333333,4,2,0.5,4,0,0.0,4,2,0.5,4,2,0.5,4,1,0.25,4,1,0.25,4,4,1.0,1,1,1.0,4,4,1.0,4,4,1.0
1103025,10,4,0.4,9,2,0.2222222222222222,7,2,0.2857142857142857,10,7,0.7,10,10,1.0,10,7,0.7,10,2,0.2,10,6,0.6,7,4,0.5714285714285714,10,3,0.3,10,7,0.7
1103031,10,6,0.6,10,0,0.0,9,0,0.0,10,4,0.4,10,10,1.0,10,9,0.9,10,6,0.6,10,4,0.4,9,9,1.0,10,6,0.6,10,6,0.6
1103032,4,2,0.5,4,1,0.25,4,1,0.25,4,1,0.25,4,4,1.0,4,1,0.25,4,2,0.5,4,1,0.25,2,1,0.5,4,3,0.75,4,4,1.0
1103185,2,1,0.5,2,1,0.5,2,0,0.0,2,2,1.0,2,0,0.0,2,0,0.0,2,0,0.0,2,1,0.5,1,1,1.0,2,2,1.0,2,2,1.0
1103461,15,4,0.26666666666666666,15,5,0.3333333333333333,15,5,0.3333333333333333,15,6,0.4,15,12,0.8,15,2,0.13333333333333333,15,4,0.26666666666666666,15,7,0.4666666666666667,9,7,0.7777777777777778,15,8,0.5333333333333333,15,13,0.8666666666666667
1103556,14,5,0.35714285714285715,14,2,0.14285714285714285,13,1,0.07692307692307693,14,14,1.0,14,12,0.8571428571428571,14,5,0.35714285714285715,14,9,0.6428571428571429,14,6,0.42857142857142855,7,5,0.7142857142857143,14,8,0.5714285714285714,14,12,0.8571428571428571
1103657,13,8,0.6153846153846154,14,4,0.2857142857142857,12,1,0.08333333333333333,14,9,0.6428571428571429,14,9,0.6428571428571429,14,5,0.35714285714285715,14,7,0.5,14,9,0.6428571428571429,7,3,0.42857142857142855,14,7,0.5,14,9,0.6428571428571429
