CO_CURSO,ITEM,n_total,n_valido,media,mediana,dp,concordancia_n,nao_sabe_n,nao_aplica_n,concordancia_pct,ausencia_analitica_pct
122358,QE_I64,1,0,,,,0,0,0,nan,1.0
122746,QE_I64,19,17,5.529411764705882,6.0,1.2805100086890933,16,1,0,0.9411764705882353,0.10526315789473684
123356,QE_I64,31,11,5.363636363636363,6.0,0.9244162777371754,10,1,1,0.9090909090909091,0.6451612903225806
123472,QE_I64,78,53,5.188679245283019,6.0,1.1611765216230687,47,2,1,0.8867924528301887,0.3205128205128205
123494,QE_I64,2,2,5.5,5.5,0.7071067811865476,2,0,0,1.0,0.0
123519,QE_I64,13,13,5.615384615384615,6.0,0.5063696835418332,13,0,0,1.0,0.0
123787,QE_I64,3,2,4.5,4.5,0.7071067811865476,2,0,0,1.0,0.33333333333333337
300520,QE_I64,31,21,5.095238095238095,5.0,1.0910894511799623,20,1,0,0.9523809523809523,0.32258064516129037
312333,QE_I64,43,40,5.375,6.0,0.9250779592927459,38,0,0,0.95,0.06976744186046513
1101770,QE_I64,46,43,5.372093023255814,6.0,1.0005535566435568,41,0,0,0.9534883720930233,0.06521739130434778
1102402,QE_I64,36,21,5.571428571428571,6.0,0.8701395618766322,20,0,0,0.9523809523809523,0.41666666666666663
1102641,QE_I64,4,4,5.25,5.5,0.9574271077563381,4,0,0,1.0,0.0
1102795,QE_I64,10,9,5.666666666666667,6.0,0.7071067811865476,9,0,0,1.0,0.09999999999999998
1102963,QE_I64,4,4,4.25,5.0,2.362907813126304,3,0,0,0.75,0.0
1103025,QE_I64,10,10,5.4,5.5,0.699205898780101,10,0,0,1.0,0.0
1103031,QE_I64,10,10,5.9,6.0,0.316227766016838,10,0,0,1.0,0.0
1103032,QE_I64,4,4,6.0,6.0,0.0,4,0,0,1.0,0.0
1103185,QE_I64,2,2,5.5,5.5,0.7071067811865476,2,0,0,1.0,0.0
1103461,QE_I64,15,15,5.466666666666667,6.0,0.9154754164341269,14,0,0,0.9333333333333333,0.0
1103556,QE_I64,20,14,5.285714285714286,6.0,0.9944903161976938,13,0,0,0.9285714285714286,0.30000000000000004
1103657,QE_I64,15,13,5.615384615384615,6.0,0.6504436355879908,13,0,1,1.0,0.1333333333333333
1103813,QE_I64,30,29,5.517241379310345,6.0,0.7847060257179308,28,0,0,0.9655172413793104,0.033333333333333326
1103910,QE_I64,24,18,5.166666666666667,5.0,0.9235481451827988,16,0,0,0.8888888888888888,0.25
1103911,QE_I64,28,27,5.37037037037037,6.0,0.791694781327139,26,1,0,0.9629629629629629,0.0357142857142857
1103912,QE_I64,11,10,5.4,6.0,0.8432740427115677,10,0,0,1.0,0.09090909090909094
1103914,QE_I64,26,25,5.48,6.0,0.7141428428542853,25,0,0,1.0,0.038461538461538436
1105218,QE_I64,25,22,5.045454545454546,5.0,1.1329385612423044,20,0,0,0.9090909090909091,0.12
1106721,QE_I64,6,6,5.5,6.0,0.8366600265340756,6,0,0,1.0,0.0
1108212,QE_I64,24,23,5.608695652173913,6.0,0.6563764465043609,23,0,0,1.0,0.04166666666666663
1111510,QE_I64,6,5,5.8,6.0,0.44721359549995787,5,0,0,1.0,0.16666666666666663
1117203,QE_I64,10,10,5.4,6.0,0.8432740427115678,10,0,0,1.0,0.0
1122743,QE_I64,17,15,5.6,6.0,0.6324555320336759,15,0,0,1.0,0.11764705882352944
1123270,QE_I64,24,22,5.045454545454546,6.0,1.3965015038360866,18,0,0,0.8181818181818182,0.08333333333333337
1126144,QE_I64,7,7,6.0,6.0,0.0,7,0,0,1.0,0.0
1127113,QE_I64,31,25,5.16,5.0,0.9865765724632496,23,1,0,0.92,0.19354838709677424
1127676,QE_I64,10,10,5.6,6.0,0.8432740427115679,10,0,0,1.0,0.0
1128030,QE_I64,17,17,5.823529411764706,6.0,0.5285941398709244,17,0,0,1.0,0.0
1128096,QE_I64,25,25,5.8,6.0,0.5000000000000002,25,0,0,1.0,0.0
1128169,QE_I64,48,45,5.6,6.0,0.7198484689028785,45,2,0,1.0,0.0625
1128360,QE_I64,15,13,5.615384615384615,6.0,0.6504436355879908,13,0,0,1.0,0.1333333333333333
1128375,QE_I64,8,5,5.2,5.0,0.44721359549995787,5,1,0,1.0,0.375
1128378,QE_I64,14,11,5.545454545454546,6.0,0.6875516509523286,11,0,0,1.0,0.2142857142857143
1128936,QE_I64,15,12,5.333333333333333,5.0,0.49236596391733095,12,0,0,1.0,0.19999999999999996
1128938,QE_I64,12,12,5.916666666666667,6.0,0.28867513459481287,12,0,0,1.0,0.0
1129073,QE_I64,11,11,5.636363636363637,6.0,0.674199862463242,11,0,0,1.0,0.0
1131697,QE_I64,29,26,5.461538461538462,6.0,0.7060180864974627,25,0,0,0.9615384615384616,0.10344827586206895
1135958,QE_I64,3,3,5.666666666666667,6.0,0.5773502691896257,3,0,0,1.0,0.0
1137846,QE_I64,27,21,5.095238095238095,5.0,1.0442586798663398,19,1,0,0.9047619047619048,0.2222222222222222
