CO_CURSO,sexo_n_total,sexo_n_valido,sexo_feminino_n,sexo_masculino_n,sexo_indefinido_n,sexo_feminino_pct,sexo_masculino_pct,idade_n,idade_media,idade_mediana,idade_dp,idade_min,idade_max
50439,3,3,3,0,0,1.0,0.0,3,24.333333333333332,25.0,1.1547005383792517,23,25
52068,2,2,1,1,0,0.5,0.5,2,24.5,24.5,2.1213203435596424,23,26
52139,6,6,3,3,0,0.5,0.5,6,23.833333333333332,24.0,2.786873995477131,21,27
52442,40,40,25,15,0,0.625,0.375,40,28.3,25.5,7.592844134531015,21,51
55811,18,18,11,7,0,0.6111111111111112,0.3888888888888889,18,23.72222222222222,22.0,5.421151989096864,21,45
58522,13,13,8,5,0,0.6153846153846154,0.38461538461538464,13,25.692307692307693,24.0,4.404252024741083,22,36
58526,9,9,4,5,0,0.4444444444444444,0.5555555555555556,9,28.0,23.0,9.433981132056603,22,45
58588,19,19,7,12,0,0.3684210526315789,0.631578947368421,19,26.526315789473685,23.0,6.095247885330483,21,43
59272,27,27,9,18,0,0.3333333333333333,0.6666666666666666,27,24.444444444444443,23.0,4.069902033722991,21,38
59426,69,69,27,42,0,0.391304347826087,0.6086956521739131,69,23.463768115942027,23.0,3.132278395264229,20,44
59996,54,54,26,28,0,0.48148148148148145,0.5185185185185185,54,23.796296296296298,23.0,2.8041722932399673,21,34
60290,7,7,3,4,0,0.42857142857142855,0.5714285714285714,7,23.0,22.0,2.0,21,27
60760,31,31,15,16,0,0.4838709677419355,0.5161290322580645,31,30.741935483870968,29.0,6.169644732805305,24,49
61024,15,15,5,10,0,0.3333333333333333,0.6666666666666666,15,24.2,23.0,4.411025148096852,20,38
61669,18,18,6,12,0,0.3333333333333333,0.6666666666666666,18,27.22222222222222,24.5,6.169713078995181,21,41
63062,32,32,12,20,0,0.375,0.625,32,26.8125,24.0,7.863502872089183,21,55
63383,32,32,7,25,0,0.21875,0.78125,32,31.6875,27.0,9.845377169662074,22,59
64604,11,11,7,4,0,0.6363636363636364,0.36363636363636365,11,32.09090909090909,31.0,10.577849927603866,22,58
68313,6,6,1,5,0,0.16666666666666666,0.8333333333333334,6,23.666666666666668,23.5,2.1602468994692865,21,27
68511,37,37,15,22,0,0.40540540540540543,0.5945945945945946,37,33.54054054054054,31.0,9.748488756367987,21,54
70522,21,21,5,16,0,0.23809523809523808,0.7619047619047619,21,34.142857142857146,28.0,12.981855469406959,23,62
71037,9,9,0,9,0,0.0,1.0,9,36.55555555555556,34.0,14.917364974343752,23,71
71419,15,15,6,9,0,0.4,0.6,15,26.333333333333332,24.0,5.094347941825425,21,39
74276,6,6,6,0,0,1.0,0.0,6,34.833333333333336,34.0,7.11102430502573,27,44
76212,2,2,1,1,0,0.5,0.5,2,27.5,27.5,3.5355339059327378,25,30
80827,5,5,3,2,0,0.6,0.4,5,22.8,22.0,1.643167672515498,21,25
81423,23,23,10,13,0,0.43478260869565216,0.5652173913043478,23,27.956521739130434,25.0,9.172479891053381,21,57
81660,9,9,6,3,0,0.6666666666666666,0.3333333333333333,9,23.22222222222222,23.0,1.563471919941143,21,26
81812,19,19,8,11,0,0.42105263157894735,0.5789473684210527,19,26.473684210526315,24.0,5.862957360057118,22,47
82658,39,39,14,25,0,0.358974358974359,0.6410256410256411,39,29.641025641025642,26.0,9.120500850418422,21,55
83289,17,17,5,12,0,0.29411764705882354,0.7058823529411765,17,25.88235294117647,25.0,3.1992646213852103,22,32
83302,35,35,15,20,0,0.42857142857142855,0.5714285714285714,35,24.314285714285713,23.0,3.652327449492901,21,38
83312,19,19,14,5,0,0.7368421052631579,0.2631578947368421,19,29.36842105263158,26.0,7.718740011713117,22,46
83318,22,22,9,13,0,0.4090909090909091,0.5909090909090909,22,25.863636363636363,23.5,6.37177895878122,21,45
83330,14,14,8,6,0,0.5714285714285714,0.42857142857142855,14,30.285714285714285,27.0,8.379724352255284,25,57
83929,22,22,7,15,0,0.3181818181818182,0.6818181818181818,22,29.727272727272727,26.0,9.269416266522825,21,60
84374,10,10,7,3,0,0.7,0.3,10,24.2,24.5,2.14993539954628,21,27
85320,22,22,5,17,0,0.22727272727272727,0.7727272727272727,22,25.863636363636363,25.0,5.157476815223422,21,47
85760,19,19,8,11,0,0.42105263157894735,0.5789473684210527,19,26.210526315789473,22.0,6.364650181260911,21,42
