CO_CURSO,TP_SEXO,n
1451120,F,32
1451120,M,30
1452609,F,7
1453816,F,2
1453816,M,7
1454028,F,1
1454137,M,5
1457027,F,5
1457027,M,5
1457037,F,2
1457037,M,1
1457167,F,9
1457167,M,13
1457267,F,3
1457267,M,1
1458143,M,3
1458481,F,2
1458481,M,2
1458668,F,5
1458668,M,6
1465529,F,2
1465529,M,7
1467890,M,2
1468161,M,4
1472818,F,8
1472818,M,5
1473015,F,3
1473015,M,6
1473185,M,1
1477654,F,19
1477654,M,13
1483407,F,3
1483407,M,6
1483490,F,6
1483490,M,16
1483500,F,5
1483500,M,11
1483518,F,3
1485453,M,3
1486952,F,3
1486952,M,11
1487060,F,2
1487060,M,16
1487353,F,4
1487353,M,3
1488240,F,5
1488240,M,2
1488974,F,10
1488974,M,8
1497052,M,3
1499549,F,5
1499549,M,3
1506116,F,7
1506116,M,8
1509485,F,2
1509485,M,1
1514192,M,1
1515609,F,11
1515609,M,8
1515616,F,8
1515616,M,10
1515618,F,6
1515618,M,3
1516669,M,1
1517196,F,2
1517196,M,6
1517293,F,27
1517293,M,32
1518083,F,3
1518083,M,2
1519071,F,2
1519071,M,2
1520538,M,1
1522008,F,12
1522008,M,18
1525884,F,5
1525884,M,3
1525963,M,1
1527381,F,3
1527381,M,5
1536334,F,79
1536334,M,67
1541484,F,5
1541484,M,16
1543037,F,2
1546260,M,2
1546969,M,2
1547032,M,1
1547054,M,1
1550087,F,135
1550087,M,230
1550199,F,1
1550199,M,3
1550498,F,3
1550498,M,3
1550509,F,3
1550509,M,2
1551083,M,2
1555830,F,9
1555830,M,23
1562928,F,1
1562928,M,7
1571245,F,1
1571245,M,5
1572855,F,1
1575689,F,6
1575689,M,7
1576008,F,5
1576008,M,5
1576347,F,1
1576448,F,3
1576448,M,2
1576702,M,1
1577419,F,3
1577419,M,5
1584375,M,1
1591417,F,2
1591417,M,3
1591581,F,2
1591581,M,7
1595470,M,1
1595646,F,6
1595646,M,10
1595781,F,2
1595781,M,1
1596704,M,3
1597098,F,1
1598572,F,4
1598572,M,1
1598970,F,1
1598970,M,1
1599021,F,8
1599021,M,21
1599390,F,1
1611291,F,21
1611291,M,16
1611292,F,6
1611292,M,4
1615079,F,1
1615079,M,4
1625069,F,9
1625069,M,19
1625081,F,6
1625081,M,7
1625089,F,9
1625089,M,10
1625094,F,7
1625094,M,7
1634832,M,7
1634842,F,2
1634842,M,1
1634877,F,1
1634877,M,1
1634891,F,2
1634891,M,9
1668061,F,1
1668061,M,3
1676716,F,10
1676716,M,5
5000138,F,3
5000138,M,6
5000487,F,5
5000487,M,7
5000493,F,4
5000493,M,7
5000912,F,4
5001337,F,15
5001337,M,17
