NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NO_IES,SG_IES,AREA,MODALIDADE,MUNICIPIO,UF,INSCRITOS,PARTICIPANTES,TOTAL_PADRAO_PROFICIENCIA,PCT_PADRAO_PROFICIENCIA,CONCEITO_ENADE,SITUACAO_CONCEITO,ROTULO_OFERTA,CONCEITO_ENADE_NUM,INSCRITOS_NUM,PARTICIPANTES_NUM,PCT_PADRAO_PROFICIENCIA_NUM,GRUPO_CODIGO,GRUPO
2025,17196,830,1,10028,702,1,1600303,16,1,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,MATEMÁTICA ,Presencial,Macapá,AP,39,25,8,0.32,1,Conceito 1,Macapá - Presencial,1,39,25,0.32,D,Restante da Região Norte
2025,18354,1,1,10028,702,1,5106653,51,5,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MATEMÁTICA ,Presencial,Pontal do Araguaia,MT,1,1,,,SC,Sem conceito,Pontal do Araguaia - Presencial,,1,1,,E,Restante do Brasil
2025,18382,694,1,10028,702,1,5001102,50,5,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,MATEMÁTICA ,Presencial,Aquidauana,MS,9,9,0,0,1,Conceito 1,Aquidauana - Presencial,1,9,9,0.0,E,Restante do Brasil
2025,18877,6,1,10028,702,1,3146107,31,3,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MATEMÁTICA ,Presencial,Ouro Preto,MG,9,9,7,0.778,4,Conceito superior a 1,Ouro Preto - Presencial,4,9,9,0.778,E,Restante do Brasil
2025,18892,367,2,10028,702,1,3143302,31,3,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MATEMÁTICA ,Presencial,Montes Claros,MG,16,10,6,0.6,3,Conceito superior a 1,Montes Claros - Presencial,3,16,10,0.6,E,Restante do Brasil
2025,18954,25282,1,10028,702,1,5211909,52,5,UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,MATEMÁTICA ,Presencial,Jataí,GO,6,6,6,1,5,Conceito superior a 1,Jataí - Presencial,5,6,6,1.0,E,Restante do Brasil
2025,18959,18492,2,10028,702,1,4104303,41,4,Universidade Estadual do Paraná,UNESPAR,MATEMÁTICA ,Presencial,Campo Mourão,PR,6,6,4,0.667,3,Conceito superior a 1,Campo Mourão - Presencial,3,6,6,0.667,E,Restante do Brasil
2025,18961,18492,2,10028,702,1,4118204,41,4,Universidade Estadual do Paraná,UNESPAR,MATEMÁTICA ,Presencial,Paranaguá,PR,22,17,5,0.294,1,Conceito 1,Paranaguá - Presencial,1,22,17,0.294,E,Restante do Brasil
2025,19026,532,8,10028,702,1,4310207,43,4,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,MATEMÁTICA ,Presencial,Ijuí,RS,1,1,,,SC,Sem conceito,Ijuí - Presencial,,1,1,,E,Restante do Brasil
2025,19060,403,8,10028,702,1,5300108,53,5,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,MATEMÁTICA ,Presencial,Brasília,DF,49,45,11,0.244,1,Conceito 1,Brasília - Presencial,1,49,45,0.244,E,Restante do Brasil
2025,19077,29,2,10028,702,1,2304400,23,2,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,MATEMÁTICA ,Presencial,Fortaleza,CE,21,12,10,0.833,4,Conceito superior a 1,Fortaleza - Presencial,4,21,12,0.833,E,Restante do Brasil
