CO_CURSO,VARIAVEL,RESPOSTA,n,pct_total
49324,QE_I01,A,18,0.21686746987951808
49324,QE_I01,B,16,0.1927710843373494
49324,QE_I01,C,2,0.024096385542168676
49324,QE_I01,D,1,0.012048192771084338
49324,QE_I01,,46,0.5542168674698795
50439,QE_I01,A,3,1.0
52068,QE_I01,,2,1.0
52139,QE_I01,A,4,0.6666666666666666
52139,QE_I01,,2,0.3333333333333333
52442,QE_I01,A,29,0.725
52442,QE_I01,B,11,0.275
55811,QE_I01,A,13,0.7222222222222222
55811,QE_I01,B,1,0.05555555555555555
55811,QE_I01,,4,0.2222222222222222
58522,QE_I01,A,10,0.7692307692307693
58522,QE_I01,B,2,0.15384615384615385
58522,QE_I01,,1,0.07692307692307693
58526,QE_I01,A,5,0.5555555555555556
58526,QE_I01,B,3,0.3333333333333333
58526,QE_I01,E,1,0.1111111111111111
58588,QE_I01,A,14,0.7368421052631579
58588,QE_I01,B,2,0.10526315789473684
58588,QE_I01,E,1,0.05263157894736842
58588,QE_I01,,2,0.10526315789473684
59272,QE_I01,A,26,0.9629629629629629
59272,QE_I01,C,1,0.037037037037037035
59426,QE_I01,A,57,0.8260869565217391
59426,QE_I01,B,8,0.11594202898550725
59426,QE_I01,E,1,0.014492753623188406
59426,QE_I01,,3,0.043478260869565216
59996,QE_I01,A,39,0.7222222222222222
59996,QE_I01,B,3,0.05555555555555555
59996,QE_I01,E,1,0.018518518518518517
59996,QE_I01,,11,0.2037037037037037
60290,QE_I01,A,7,1.0
60760,QE_I01,A,23,0.7419354838709677
60760,QE_I01,B,6,0.1935483870967742
60760,QE_I01,E,1,0.03225806451612903
60760,QE_I01,,1,0.03225806451612903
61024,QE_I01,A,15,1.0
61669,QE_I01,A,10,0.5555555555555556
61669,QE_I01,B,4,0.2222222222222222
61669,QE_I01,,4,0.2222222222222222
63062,QE_I01,A,24,0.75
63062,QE_I01,B,4,0.125
63062,QE_I01,,4,0.125
63383,QE_I01,A,16,0.5
63383,QE_I01,B,9,0.28125
63383,QE_I01,,7,0.21875
64604,QE_I01,A,8,0.7272727272727273
64604,QE_I01,B,2,0.18181818181818182
64604,QE_I01,C,1,0.09090909090909091
68313,QE_I01,A,5,0.8333333333333334
68313,QE_I01,B,1,0.16666666666666666
68511,QE_I01,A,18,0.4864864864864865
68511,QE_I01,B,10,0.2702702702702703
68511,QE_I01,C,4,0.10810810810810811
